0	房间太老了服务不周到不热情交通还好保安象混子前台服务冷漠	1
0	可以坐地铁8号线，在曲阜路下车出地铁就到了。西藏北路路口出。到对面就能找到国庆路。不过这个酒店的毛巾，浴巾相当的旧，而且还是黄色的那种，我都没有用过。还好只是住了一天。比较起来对面的晋元大酒店在这方面做的就好多了，旧是旧了点但是毛巾比较好，起码可以用。不过这个地方相对来说很安静。	1
1	锦江富园酒店的网速实在是太慢了！比拨号还慢。电视很差，屏幕闪的厉害。HBO频道很不清楚，CRT的，现在改换液晶的了	0
0	酒店真的不怎么样，不知道怎么评上四星的。房间又小又旧，早餐也没什么吃的，服务也不好，而且会有骚扰电话	1
0	这个饭店真的很一般，感觉不太好。服务人员态度也不是很好，房间的水龙头出来的水开始相当长时间也是黄黄的。下次不会再去了	1
1	地角-虽然打车去哪都不贵但是前不着村后不着店步行太冷了不过早上吃饭还是很方便客房很烂~似乎是后改造的跟北京的洲际没法比人家那个是闪闪发亮这个是暗淡无光还很阴冷~安排的朝北的房子朋友先洗澡结果说淋浴的下水道堵了里面全是头发恶心无比地砖也是脏渍斑驳的里面配套的毛巾什么的根本就不全浴巾和浴袍各只有一条我宁愿加点钱住别家真不知道5星是怎么得来的	0
0	性价比低，感觉很贵。选择酒店主要是离附近的企业近一些。房间总是能听得很响的水声。希望酒店能降低价格。目前的设施同安徽省内其它酒店相比只值250元不到啊	1
0	除大堂像一个挂牌五星级酒店外，其他真的没找到可以达标的。设施陈旧，比如地毯差，而且脏！床和被子跟一般的小酒店差不多，卫生间也一般，总之在大堂感觉很好，到了房间就发现被大堂忽悠了！	1
0	价格贵，房间设施老旧，居然没有电梯。房间大，但都是没有用的设施，比如麻将桌，又占地方，又没用。热水器插座就设在花洒上方，感觉不安全。	1
1	装修的味道特重，熏的人特难受，临街的房间特吵，吵的无法入睡	0
